<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.08.18	00:00:00	23850.00	23866.50	23845.25	23860.50	6223	7082	25
2025.08.18	00:30:00	23860.75	23865.75	23853.75	23856.50	4159	4703	25
2025.08.18	01:00:00	23857.00	23874.25	23855.25	23871.25	4215	5001	25
2025.08.18	01:30:00	23871.25	23882.00	23869.25	23881.50	3946	4708	25
2025.08.18	02:00:00	23881.00	23881.75	23867.25	23874.75	4450	5177	25
2025.08.18	02:30:00	23874.75	23879.00	23872.75	23877.00	1966	2271	25
2025.08.18	03:00:00	23876.75	23880.00	23868.50	23869.50	2387	2777	0
2025.08.18	03:30:00	23869.75	23870.25	23856.25	23857.75	3891	4499	25
2025.08.18	04:00:00	23857.75	23859.50	23845.50	23855.75	4153	4797	25
2025.08.18	04:30:00	23856.25	23860.00	23848.50	23849.50	2974	3355	25
2025.08.18	05:00:00	23849.00	23857.75	23841.00	23844.00	3531	3985	25
2025.08.18	05:30:00	23844.25	23856.50	23843.25	23852.25	2484	2838	25
2025.08.18	06:00:00	23851.75	23855.00	23799.75	23804.00	8554	9797	25
2025.08.18	06:30:00	23803.75	23823.75	23772.50	23801.50	11283	12691	25
2025.08.18	07:00:00	23801.00	23816.25	23782.25	23800.50	11320	12833	0
2025.08.18	07:30:00	23800.25	23810.00	23780.75	23805.25	7828	8862	25
2025.08.18	08:00:00	23805.25	23812.00	23743.50	23765.50	12944	14522	25
2025.08.18	08:30:00	23765.00	23796.50	23759.75	23778.50	8281	9316	25
2025.08.18	09:00:00	23778.75	23782.25	23738.75	23749.50	8236	9268	25
2025.08.18	09:30:00	23749.75	23767.00	23749.50	23759.00	5245	5717	25
2025.08.18	10:00:00	23759.00	23774.75	23756.25	23764.25	5435	6161	25
2025.08.18	10:30:00	23764.75	23792.00	23764.00	23788.00	5214	6115	0
2025.08.18	11:00:00	23788.00	23791.25	23760.00	23764.00	7452	8305	25
2025.08.18	11:30:00	23764.00	23773.25	23747.25	23767.50	8013	9365	0
2025.08.18	12:00:00	23767.50	23771.75	23745.25	23770.75	8914	9944	25
2025.08.18	12:30:00	23770.50	23777.00	23753.00	23775.00	8960	9992	0
2025.08.18	13:00:00	23775.25	23788.50	23757.00	23768.25	17774	20714	0
2025.08.18	13:30:00	23768.25	23818.25	23735.00	23748.75	121380	137070	0
2025.08.18	14:00:00	23749.00	23824.50	23745.50	23773.50	90746	103058	0
2025.08.18	14:30:00	23773.50	23788.75	23718.75	23777.00	86710	99968	0
2025.08.18	15:00:00	23777.25	23784.25	23738.50	23744.50	52779	61257	25
2025.08.18	15:30:00	23744.50	23759.50	23728.50	23747.00	39593	45889	0
2025.08.18	16:00:00	23747.25	23778.00	23744.75	23769.50	31972	37438	0
2025.08.18	16:30:00	23770.25	23780.25	23722.50	23735.00	41982	48772	0
2025.08.18	17:00:00	23735.00	23770.00	23733.00	23769.25	28107	33067	0
2025.08.18	17:30:00	23769.25	23799.75	23750.50	23760.25	39127	47249	0
