<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.08.18	18:00:00	23761.00	23775.25	23747.00	23766.75	26804	31767	0
2025.08.18	18:30:00	23766.50	23803.00	23766.00	23795.75	26826	31943	0
2025.08.18	19:00:00	23795.50	23812.25	23784.00	23792.00	27604	32844	0
2025.08.18	19:30:00	23792.00	23816.00	23786.25	23796.25	35200	43062	0
2025.08.18	20:00:00	23796.75	23806.25	23783.50	23790.75	13096	15776	0
2025.08.18	20:30:00	23790.50	23795.75	23785.00	23789.50	4865	5772	25
2025.08.18	22:00:00	23795.25	23839.75	23791.00	23813.00	9487	11252	25
2025.08.18	22:30:00	23813.25	23824.75	23807.50	23820.50	4324	4851	25
2025.08.18	23:00:00	23820.25	23826.00	23809.25	23816.50	3352	3730	25
2025.08.18	23:30:00	23816.00	23816.25	23802.00	23804.75	3941	4410	25
2025.08.19	00:00:00	23805.00	23806.00	23781.25	23782.25	6998	7921	25
2025.08.19	00:30:00	23782.25	23785.00	23762.50	23780.75	9069	10233	25
2025.08.19	01:00:00	23781.50	23792.25	23777.50	23780.00	5610	6297	25
2025.08.19	01:30:00	23780.50	23785.75	23770.00	23770.00	5293	5801	25
2025.08.19	02:00:00	23769.75	23784.50	23765.00	23774.00	4684	5209	25
2025.08.19	02:30:00	23774.25	23783.00	23761.75	23763.50	4397	5090	25
2025.08.19	03:00:00	23764.25	23786.75	23757.50	23784.00	4842	5540	25
2025.08.19	03:30:00	23784.00	23784.25	23751.00	23754.00	5711	6464	25
2025.08.19	04:00:00	23753.75	23755.25	23738.75	23740.75	4726	5384	25
2025.08.19	04:30:00	23741.00	23761.50	23739.75	23757.00	4319	5147	25
2025.08.19	05:00:00	23757.25	23763.50	23730.75	23737.50	5754	6656	25
2025.08.19	05:30:00	23738.00	23748.25	23730.75	23736.25	5079	5634	0
2025.08.19	06:00:00	23735.75	23754.25	23734.25	23752.00	5463	6038	25
2025.08.19	06:30:00	23752.50	23767.00	23749.00	23763.00	3745	4242	25
2025.08.19	07:00:00	23763.25	23770.75	23755.50	23758.00	6213	7008	25
2025.08.19	07:30:00	23757.50	23772.50	23747.75	23769.50	5272	6002	25
2025.08.19	08:00:00	23769.50	23784.25	23745.50	23770.25	8447	9617	25
2025.08.19	08:30:00	23770.50	23788.00	23762.50	23786.75	4660	5338	25
2025.08.19	09:00:00	23787.25	23805.00	23781.50	23800.00	6409	7829	25
2025.08.19	09:30:00	23800.50	23803.50	23784.50	23787.75	4024	4740	25
2025.08.19	10:00:00	23787.75	23790.25	23772.50	23779.00	8088	9488	25
2025.08.19	10:30:00	23779.25	23780.75	23751.00	23762.50	7653	8593	25
2025.08.19	11:00:00	23762.00	23770.75	23755.25	23762.50	6169	6812	25
2025.08.19	11:30:00	23762.00	23777.75	23755.00	23773.25	7536	8571	25
2025.08.19	12:00:00	23773.50	23782.75	23751.50	23777.75	11346	12729	25
2025.08.19	12:30:00	23779.00	23783.25	23739.25	23744.50	13510	15229	25
2025.08.19	13:00:00	23744.25	23765.25	23735.25	23762.25	17540	20616	25
2025.08.19	13:30:00	23765.00	23770.75	23639.25	23677.25	177129	202953	0
2025.08.19	14:00:00	23677.75	23728.00	23622.75	23627.25	116333	131797	0
2025.08.19	14:30:00	23627.25	23659.00	23540.00	23541.25	135787	157588	0
2025.08.19	15:00:00	23541.25	23586.50	23514.00	23579.25	88185	102602	0
2025.08.19	15:30:00	23579.00	23590.00	23552.00	23558.00	51438	59766	25
2025.08.19	16:00:00	23557.75	23578.00	23516.00	23533.50	53317	61850	25
2025.08.19	16:30:00	23533.75	23540.00	23469.75	23482.50	72745	85870	0
2025.08.19	17:00:00	23482.25	23491.25	23445.25	23484.75	63442	75006	0
2025.08.19	17:30:00	23484.50	23516.00	23483.00	23506.75	38467	45747	0
2025.08.19	18:00:00	23506.75	23508.00	23461.50	23473.00	46635	55378	0
2025.08.19	18:30:00	23473.50	23479.50	23444.25	23462.00	36968	43404	0
2025.08.19	19:00:00	23461.50	23463.00	23425.25	23458.50	41900	48887	0
2025.08.19	19:30:00	23458.75	23477.00	23435.75	23471.00	50610	60906	0
2025.08.19	20:00:00	23470.75	23487.50	23465.25	23473.00	19618	22937	25
2025.08.19	20:30:00	23473.00	23475.00	23464.25	23473.25	5447	6535	25
2025.08.19	22:00:00	23458.25	23489.00	23449.75	23456.50	10638	12616	0
2025.08.19	22:30:00	23457.50	23472.75	23455.00	23458.25	4900	5483	25
2025.08.19	23:00:00	23458.75	23466.50	23413.50	23435.25	10856	12380	25
2025.08.19	23:30:00	23434.75	23436.75	23415.50	23423.25	8992	10027	25
2025.08.20	00:00:00	23423.00	23424.00	23403.00	23413.25	11693	12836	25
2025.08.20	00:30:00	23413.50	23423.00	23398.00	23414.75	8659	9798	25
2025.08.20	01:00:00	23414.25	23431.25	23382.00	23384.75	13396	14880	25
2025.08.20	01:30:00	23384.25	23389.25	23367.75	23379.00	11801	13338	25
2025.08.20	02:00:00	23379.25	23389.00	23368.00	23386.75	5495	6150	25
2025.08.20	02:30:00	23386.50	23395.00	23383.50	23391.50	5144	5814	25
2025.08.20	03:00:00	23391.75	23395.50	23355.25	23366.50	9354	10816	25
2025.08.20	03:30:00	23366.50	23373.50	23338.00	23344.50	9126	10224	25
2025.08.20	04:00:00	23344.75	23366.75	23342.00	23365.25	6171	7027	25
2025.08.20	04:30:00	23365.00	23368.25	23344.50	23351.75	5945	6736	25
2025.08.20	05:00:00	23351.25	23352.25	23334.25	23346.00	6328	7244	25
2025.08.20	05:30:00	23346.00	23366.75	23343.25	23365.75	5513	6363	25
2025.08.20	06:00:00	23365.25	23372.00	23344.75	23362.25	8498	9506	25
2025.08.20	06:30:00	23361.75	23392.50	23361.00	23388.00	10784	12325	25
2025.08.20	07:00:00	23388.50	23430.25	23385.75	23417.25	14445	16819	0
2025.08.20	07:30:00	23417.75	23417.75	23392.00	23400.00	7973	8963	25
2025.08.20	08:00:00	23400.25	23410.50	23371.75	23378.75	11708	13391	25
2025.08.20	08:30:00	23378.00	23421.50	23370.75	23414.50	10676	13196	25
2025.08.20	09:00:00	23414.25	23434.00	23406.50	23425.50	7571	8760	25
2025.08.20	09:30:00	23425.75	23439.50	23423.25	23432.25	5578	6461	25
2025.08.20	10:00:00	23432.75	23442.00	23424.50	23427.75	5503	6380	25
2025.08.20	10:30:00	23427.75	23430.75	23403.00	23425.50	7891	9090	25
2025.08.20	11:00:00	23425.25	23452.00	23411.75	23414.25	12324	14335	25
2025.08.20	11:30:00	23415.25	23420.00	23374.75	23413.00	14072	16467	25
2025.08.20	12:00:00	23412.00	23432.50	23408.25	23412.75	10803	12353	0
2025.08.20	12:30:00	23412.00	23436.50	23396.50	23426.00	17507	20177	0
2025.08.20	13:00:00	23426.75	23430.50	23402.50	23425.25	18080	20821	0
2025.08.20	13:30:00	23425.25	23432.00	23146.00	23172.50	219258	245894	0
2025.08.20	14:00:00	23172.25	23214.50	23063.25	23095.25	183011	206095	0
2025.08.20	14:30:00	23095.25	23109.25	23035.25	23057.50	112785	131025	0
2025.08.20	15:00:00	23057.00	23228.00	23046.00	23224.50	106085	125171	0
2025.08.20	15:30:00	23224.25	23266.25	23152.50	23171.00	98351	114530	0
2025.08.20	16:00:00	23171.25	23303.75	23168.75	23297.50	73501	86434	0
2025.08.20	16:30:00	23297.50	23298.75	23218.50	23232.00	60052	69285	0
2025.08.20	17:00:00	23232.50	23274.50	23225.50	23247.25	60029	68568	0
